kode_barang,kode_barcode,kode_barcode_2,kode_barcode_3,nama,kategori,sub_kategori,supplier,tanggal_beli,isi,isi_satuan_3,satuan_1,satuan_2,satuan_3,toko,gudang,hpp,harga_toko_1,harga_toko_2,harga_toko_3,harga_partai_1,harga_partai_2,harga_partai_3,harga_cabang_1,harga_cabang_2,harga_cabang_3,lokasi,ukuran,warna,nama_2,nama_3,stok_min,stok_max,total_stock,total_sales,profit_margin,low_stock_flag,fast_moving_flag,margin_category
A2457,8888380212761,,,AAA  ANCOVY  FISH SAUCE 750G,MAKANAN KALENG,Unknown,SRIJAYA RAYA PE,1899-12-30,12,1,KALENG,Unknown,Unknown,0,0,1.08,9800,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,48.0,0.9999,True,True,High
A2431,8850305310043,,,ABAKUS PERMEN 120G KTK PENSIL,MAKANAN KALENG,Unknown,"INDOSINMA JAYA,",1899-12-30,1,1,KARTON,Unknown,Unknown,0,0,1.8,15300,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,14.0,0.9999,True,False,High
A2416,8850305310340,,,ABAKUS PERMEN 30G KTK BLT,MAKANAN KALENG,Unknown,"INDOSINMA JAYA,",1899-12-30,12,1,KALENG,Unknown,Unknown,0,0,5000.0,5500,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,50.0,0.0909,True,True,Low
A2432,8850305310258,,,ABAKUS PERMEN BONEKA,MINUMAN,Unknown,"INDOSINMA JAYA,",1899-12-30,12,1,PCs,Unknown,Unknown,0,0,8000.0,8800,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,46.0,0.0909,True,True,Low
A2435,8886022950538,,,ABC ALKALIN 9 VOLT,STATIONERY,Unknown,ABM,1899-12-30,6,1,PCs,Unknown,Unknown,0,0,18169.0,19200,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,39.0,0.0537,True,False,Low
A2545,711844120167,,,ABC AYAM GRENG 135ML,SABUN & SAMPHOO,Unknown,SERAYA MAKMUR P,1899-12-30,48,1,PCs,Unknown,Unknown,0,0,4050.0,4400,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,17.0,0.0795,True,False,Low
A2546,711844120150,,,ABC AYAM GRENG 340ML,SABUN & SAMPHOO,Unknown,SERAYA MAKMUR P,1899-12-30,24,1,PCs,Unknown,Unknown,0,0,8925.0,9400,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,39.0,0.0505,True,False,Low
A2692,711844110403,,,ABC BLACK GOLD 600ML,BUMBU,Unknown,SERAYA MAKMUR P,1899-12-30,12,1,BOTOL,Unknown,Unknown,0,0,16979.0,17900,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,32.0,0.0515,True,False,Low
A2689,8991002101111,,,ABC BROWNIES 30S,TEH & KOPI,Unknown,PRIMA RINTIS SE,1899-12-30,6,1,PCs,Unknown,Unknown,0,0,25345.83,26700,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,50.0,0.0507,True,True,Low
A2665,8992388121250,,,ABC CUP SELERA PEDAS 65G SEMUR,MINUMAN,Unknown,SERAYA MAKMUR P,1899-12-30,24,1,KALENG,Unknown,Unknown,0,0,3254.16,3600,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,22.0,0.0961,True,False,Low
A2678,8992388121243,,,ABC CUP SELERA PEDAS 65G TOMAT,MINUMAN,Unknown,SERAYA MAKMUR P,1899-12-30,24,1,KALENG,Unknown,Unknown,0,0,3254.0,3600,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,36.0,0.0961,True,False,Low
A2494,8991102100014,,,ABC DENT 130G,PASTA & S-GIGI,Unknown,ARTA BOGA CEMER,1899-12-30,6,1,PCs,Unknown,Unknown,0,0,2650.0,3000,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,50.0,0.1167,True,True,Medium
A2436,711844330146,,,ABC EXTRA PEDAS 155G,ROKOK,Unknown,SERAYA MAKMUR P,1899-12-30,60,1,BUNGKUS,Unknown,Unknown,0,0,5258.0,5700,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,35.0,0.0775,True,False,Low
A2671,711844160378,,,ABC JUICE GUAVA 1LTR,MINUMAN,Unknown,SERAYA MAKMUR P,1899-12-30,12,1,BOTOL,Unknown,Unknown,0,0,13963.0,14700,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,50.0,0.0501,True,True,Low
A2404,711844160071,,,ABC JUICE JAMBU 250ML,MINUMAN,Unknown,SERAYA MAKMUR P,1899-12-30,24,1,PCs,Unknown,Unknown,0,0,3908.33,4400,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,18.0,0.1117,True,False,Medium
A2763,711844160408,,,ABC JUICE JAMBU PREMIUM GOLD 1L,MINYAK GORENG,Unknown,SERAYA MAKMUR P,1899-12-30,12,1,PCs,Unknown,Unknown,0,0,16958.0,17900,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,34.0,0.0526,True,False,Low
A2764,711844160392,,,ABC JUICE MIX PREMIUM GOLD 1L,MINYAK GORENG,Unknown,SERAYA MAKMUR P,1899-12-30,12,1,PCs,Unknown,Unknown,0,0,16958.0,17900,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,32.0,0.0526,True,False,Low
A2670,711844160361,,,ABC JUICE ORANGE 1LTR,MINUMAN,Unknown,SERAYA MAKMUR P,1899-12-30,12,1,BOTOL,Unknown,Unknown,0,0,12683.33,13400,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,50.0,0.0535,True,True,Low
A2772,711844160415,,,ABC JUICE ORANGE GOLD 1LTR,MAKANAN,Unknown,SERAYA MAKMUR P,1899-12-30,12,1,BUNGKUS,Unknown,Unknown,0,0,16958.0,17900,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,43.0,0.0526,True,False,Low
A2405,711844160095,,,ABC JUICE SIRSAK,MINUMAN,Unknown,SERAYA MAKMUR P,1899-12-30,24,1,PCs,Unknown,Unknown,0,0,3908.33,4400,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,38.0,0.1117,True,False,Medium
A2704,711844160439,,,ABC JUICE SOY BEAN 1LTR,MINUMAN,Unknown,SERAYA MAKMUR P,1899-12-30,6,1,BOTOL,Unknown,Unknown,0,0,9810.0,10300,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,28.0,0.0476,True,False,Low
A2693,711844160385,,,ABC JUS APPLE 1000ML,OBATAN,Unknown,SERAYA MAKMUR P,1899-12-30,6,1,PCs,Unknown,Unknown,0,0,13963.0,14700,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,34.0,0.0501,True,False,Low
A2406,711844162419,,,ABC KACANG HIJAU 250ML,MINUMAN,Unknown,SERAYA MAKMUR P,1899-12-30,24,1,PCs,Unknown,Unknown,0,0,2662.5,3000,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,50.0,0.1125,True,True,Medium
A2696,711844162402,,,ABC KACANG HJAU 200ML,SABUN & SAMPHOO,Unknown,SERAYA MAKMUR P,1899-12-30,24,1,PCs,Unknown,Unknown,0,0,2287.5,2600,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,35.0,0.1202,True,False,Medium
A2726,711844110328,,,ABC KCP MANIS 18S,MINUMAN,Unknown,SERAYA MAKMUR P,1899-12-30,16,1,PACKs,Unknown,Unknown,0,0,3500.0,3900,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,34.0,0.1026,True,False,Medium
A2737,711844110366,,,ABC KCP MNS B.GOLD 620ML,MENTEGA,Unknown,SERAYA MAKMUR P,1899-12-30,12,1,PACKs,Unknown,Unknown,0,0,18013.0,18900,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,21.0,0.0469,True,False,Low
A2604,711844110700,,,ABC KCP PEDAS 135ML,MINUMAN,Unknown,SERAYA MAKMUR P,1899-12-30,48,1,BOTOL,Unknown,Unknown,0,0,5258.0,5600,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,40.0,0.0611,True,False,Low
A2410,711844110021,,,ABC KECAP MANIS 600ML BTL PLASTIK,MINUMAN,Unknown,SERAYA MAKMUR P,1899-12-30,12,1,PACKs,Unknown,Unknown,0,0,15417.0,16200,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,37.0,0.0483,True,False,Low
A2725,711844110069,,,ABC KECAP MANIS SEDANG 620ML,MINUMAN,Unknown,SERAYA MAKMUR P,1899-12-30,12,1,BOTOL,Unknown,Unknown,0,0,16643.75,17400,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,50.0,0.0435,True,True,Low
A1314,711844110724,,,ABC KECAP PEDAS 16GX20S,KECAP & SAUCE,Unknown,SERAYA MAKMUR P,1899-12-30,16,1,PACKs,Unknown,Unknown,0,0,2943.75,3300,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,20.0,0.108,True,False,Medium
A2599,711844110717,,,ABC KECAP PEDAS 275ML,MINUMAN,Unknown,SERAYA MAKMUR P,1899-12-30,24,1,PACKs,Unknown,Unknown,0,0,9946.0,10500,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,42.0,0.0528,True,False,Low
A2397,711844115057,,,ABC KICAP ASIN 133ML,KECAP & SAUCE,Unknown,SERAYA MAKMUR P,1899-12-30,48,1,BOTOL,Unknown,Unknown,0,0,2466.66,2800,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,20.0,0.1191,True,False,Medium
A2396,711844115033,,,ABC KICAP ASIN 620ML,KECAP & SAUCE,Unknown,SERAYA MAKMUR P,1899-12-30,12,1,BOTOL,Unknown,Unknown,0,0,8183.0,9000,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,46.0,0.0908,True,True,Low
A2400,711844110113,,,ABC KICAP MANIS 135ML,KECAP & SAUCE,Unknown,SERAYA MAKMUR P,1899-12-30,48,1,BUNGKUS,Unknown,Unknown,0,0,4500.0,4800,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,43.0,0.0625,True,False,Low
A2403,711844110083,,,ABC KICAP MANIS 275ML BTL,MINYAK GORENG,Unknown,SERAYA MAKMUR P,1899-12-30,24,1,BOTOL,Unknown,Unknown,0,0,8812.5,9300,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,50.0,0.0524,True,True,Low
A2399,7118441101378,,,ABC KICAP MANIS 600ML POUCH,KECAP & SAUCE,Unknown,SERAYA MAKMUR P,1899-12-30,12,1,BUNGKUS,Unknown,Unknown,0,0,10593.75,15600,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,31.0,0.3209,True,False,High
A2398,711844110052,,,ABC KICAP MANIS 620ML,KECAP & SAUCE,Unknown,SERAYA MAKMUR P,1899-12-30,12,1,BOTOL,Unknown,Unknown,0,0,17475.0,18300,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,42.0,0.0451,True,False,Low
A2569,8991002101104,,,ABC KOPI BROWNIES 5SX32G,TEH & KOPI,Unknown,PRIMA RINTIS SE,1899-12-30,24,1,PACKs,Unknown,Unknown,0,0,3593.75,4000,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,30.0,0.1016,True,False,Medium
A1482,8991002101746,,,ABC KOPI MOCCA 5SX32G,TEH & KOPI,Unknown,PRIMA RINTIS SE,1899-12-30,24,1,PACKs,Unknown,Unknown,0,0,3593.75,4300,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,24.0,0.1642,True,False,Medium
A2455,8991002101654,,,ABC KOPI SUSU 20SX32G,TEH & KOPI,Unknown,PRIMA RINTIS SE,1899-12-30,6,1,PCs,Unknown,Unknown,0,0,16166.66,17200,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,43.0,0.0601,True,False,Low
A2391,711844330306,,,ABC MACKEREL 155G CHILI,MAKANAN KALENG,Unknown,SERAYA MAKMUR P,1899-12-30,60,1,KALENG,Unknown,Unknown,0,0,6273.0,6600,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,50.0,0.0495,True,True,Low
A2667,711844330320,,,ABC MACKEREL 155G EXTRA PDS,MAKANAN KALENG,Unknown,SERAYA MAKMUR P,1899-12-30,60,1,KALENG,Unknown,Unknown,0,0,5973.0,6600,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,49.0,0.095,True,True,Low
A0169,711844330207,,,ABC MACKEREL 155G TOMAT,MAKANAN KALENG,Unknown,SERAYA MAKMUR P,1899-12-30,60,1,KALENG,Unknown,Unknown,0,0,6273.0,6600,,,,,,,,,Unknown,Unknown,Unknown,,,120,0,0,33.0,0.0495,True,False,Low
A2390,711844330313,,,ABC MACKEREL 425 CHILI,MAKANAN KALENG,Unknown,SERAYA MAKMUR P,1899-12-30,24,1,KALENG,Unknown,Unknown,0,0,15983.0,16800,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,44.0,0.0486,True,False,Low
A2389,711844330214,,,ABC MACKEREL TOMAT  425,MAKANAN KALENG,Unknown,SERAYA MAKMUR P,1899-12-30,24,1,KALENG,Unknown,Unknown,0,0,14473.0,15200,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,21.0,0.0478,True,False,Low
A2386,711844120099,,,ABC MANIS PEDAS 340 ML,BUMBU,Unknown,SERAYA MAKMUR P,1899-12-30,24,1,BOTOL,Unknown,Unknown,0,0,8925.0,9400,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,40.0,0.0505,True,False,Low
A2724,8992388112791,,,ABC MIE EAT&GO BASO AYAM 60G,MINUMAN,Unknown,SERAYA MAKMUR P,1899-12-30,24,1,BOTOL,Unknown,Unknown,0,0,3375.0,3700,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,49.0,0.0878,True,True,Low
A2723,8992388112807,,,ABC MIE EAT&GO BASO SAPI 60G,MINUMAN,Unknown,SERAYA MAKMUR P,1899-12-30,24,1,BOTOL,Unknown,Unknown,0,0,3375.0,3700,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,29.0,0.0878,True,False,Low
A2380,711844167056,,,ABC MILK SHAKE 185ml C,OBATAN,Unknown,SERAYA MAKMUR P,1899-12-30,1,1,BOX,Unknown,Unknown,0,0,2250.0,2500,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,31.0,0.1,True,False,Medium
A2382,711844167032,,,ABC MILK SHAKE 185ml STAW,MINUMAN,Unknown,SERAYA MAKMUR P,1899-12-30,1,1,BOX,Unknown,Unknown,0,0,2250.0,2500,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,24.0,0.1,True,False,Medium
A2381,711844167049,,,ABC MILK SHAKE 185ml V,MINUMAN,Unknown,SERAYA MAKMUR P,1899-12-30,1,1,BOX,Unknown,Unknown,0,0,2250.0,2500,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,22.0,0.1,True,False,Medium
A2740,711844164796,,,ABC MR JUSSIE ICY CHOCO BANTAL 160M,MINUMAN,Unknown,SERAYA MAKMUR P,1899-12-30,24,1,PACKs,Unknown,Unknown,0,0,1660.41,2000,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,45.0,0.1698,True,False,Medium
A2722,711844160422,,,ABC MUNG BEAN 1000ML, KACANG TANAH,Unknown,SERAYA MAKMUR P,1899-12-30,6,1,PCs,Unknown,Unknown,0,0,10325.0,10900,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,26.0,0.0528,True,False,Low
A2575,8991002101265,,,ABC PLUS 25GX5S,TEH & KOPI,Unknown,PRIMA RINTIS SE,1899-12-30,24,1,PACKs,Unknown,Unknown,0,0,1770.83,2300,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,21.0,0.2301,True,False,High
A2709,8991002101258,,,ABC PLUS BOX 5SX18G,PERMEN,Unknown,PRINTIS PRIBADI,1899-12-30,6,1,BUNGKUS,Unknown,Unknown,0,0,2089.16,2300,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,32.0,0.0917,True,False,Low
A2719,711844120327,,,ABC SAMBAL ASLI 10SX20G,SABUN & SAMPHOO,Unknown,SERAYA MAKMUR P,1899-12-30,10,1,PCs,Unknown,Unknown,0,0,3725.0,4000,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,18.0,0.0688,True,False,Low
A2627,711844120419,,,ABC SAMBAL ASLI 275ML,SABUN & SAMPHOO,Unknown,SERAYA MAKMUR P,1899-12-30,24,1,PCs,Unknown,Unknown,0,0,7033.33,7400,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,40.0,0.0496,True,False,Low
A2387,711844120013,,,ABC SAMBAL ASLI 340 ML,BUMBU,Unknown,SERAYA MAKMUR P,1899-12-30,24,1,BOTOL,Unknown,Unknown,0,0,8925.0,9400,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,50.0,0.0505,True,True,Low
A2794,711844120525,,,ABC SAMBAL ASLI 380ML POUCH,MINUMAN,Unknown,SERAYA MAKMUR P,1899-12-30,1,1,KARTON,Unknown,Unknown,0,0,8106.0,8600,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,12.0,0.0574,True,False,Low
A2731,711844120433,,,ABC SAMBAL ASLI 600ML BTL,SUSU,Unknown,SERAYA MAKMUR P,1899-12-30,24,1,PCs,Unknown,Unknown,0,0,14250.0,14900,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,32.0,0.0436,True,False,Low
A2720,711844120389,,,ABC SAMBAL AYAM GRG 10S,SABUN & SAMPHOO,Unknown,SERAYA MAKMUR P,1899-12-30,10,1,PCs,Unknown,Unknown,0,0,3558.0,4000,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,39.0,0.1105,True,False,Medium
A2721,711844120365,,,ABC SAMBAL EXTRA PEDAS 10S, KACANG TANAH,Unknown,SERAYA MAKMUR P,1899-12-30,10,1,PCs,Unknown,Unknown,0,0,3725.0,4000,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,30.0,0.0688,True,False,Low
A2412,711844120082,,,ABC SAMBAL EXTRA PEDAS 135ML,MINUMAN,Unknown,SERAYA MAKMUR P,1899-12-30,48,1,BOTOL,Unknown,Unknown,0,0,3870.83,4200,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,33.0,0.0784,True,False,Low
A2736,711844120501,,,ABC SAMBAL EXTRA PEDAS 1KG,OBATAN,Unknown,SERAYA MAKMUR P,1899-12-30,6,1,BOTOL,Unknown,Unknown,0,0,14933.33,15700,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,31.0,0.0488,True,False,Low
A2628,711844120440,,,ABC SAMBAL EXTRA PEDAS 275ML,BUMBU,Unknown,SERAYA MAKMUR P,1899-12-30,24,1,PCs,Unknown,Unknown,0,0,7044.0,7400,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,49.0,0.0481,True,True,Low
A2385,711844120075,,,ABC SAMBAL EXTRA PEDAS 340ML,MINUMAN,Unknown,SERAYA MAKMUR P,1899-12-30,24,1,BOTOL,Unknown,Unknown,0,0,8925.0,9400,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,45.0,0.0505,True,False,Low
A2773,711844120532,,,ABC SAMBAL EXTRA PEDAS 380G,TEH & KOPI,Unknown,"BINTANG LIMA, P",1899-12-30,12,1,PCs,Unknown,Unknown,0,0,8106.0,8600,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,33.0,0.0574,True,False,Low
A2781,711844120341,,,ABC SAMBAL EXTRA REDAS 24SX9G,SYRUP,Unknown,SERAYA MAKMUR P,1899-12-30,21,1,BOTOL,Unknown,Unknown,0,0,4700.0,5200,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,38.0,0.0962,True,False,Low
A2413,711844120105,,,ABC SAMBAL MANIS PEDAS 135ML,BUMBU,Unknown,SERAYA MAKMUR P,1899-12-30,48,1,BOTOL,Unknown,Unknown,0,0,3870.83,4200,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,31.0,0.0784,True,False,Low
A2388,711844120037,,,ABC SAMBAL MEJA 135 ML,BUMBU,Unknown,SERAYA MAKMUR P,1899-12-30,48,1,BOTOL,Unknown,Unknown,0,0,3870.83,4200,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,30.0,0.0784,True,False,Low
A2414,711844120310,,,ABC SAMBAL SASET 10G24,BUMBU,Unknown,SERAYA MAKMUR P,1899-12-30,21,1,BOTOL,Unknown,Unknown,0,0,4700.0,5000,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,40.0,0.06,True,False,Low
A2654,711844120402,,,ABC SAMBAL TERASI 10S,PRODUCT BAYI,Unknown,SERAYA MAKMUR P,1899-12-30,30,1,PCs,Unknown,Unknown,0,0,12500.0,13200,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,46.0,0.053,True,True,Low
A2411,711844130319,,,ABC SAOS TOMAT SASET 9G24,BUMBU,Unknown,ANTARIKSA NIAGA,1899-12-30,21,1,PACKs,Unknown,Unknown,0,0,4250.0,4500,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,11.0,0.0556,True,False,Low
A2700,711844330177,,,ABC SARDEN BALADO 170G,SYRUP,Unknown,SERAYA MAKMUR P,1899-12-30,12,1,BOTOL,Unknown,Unknown,0,0,7498.0,7900,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,35.0,0.0509,True,False,Low
A2701,711844330160,,,ABC SARDEN GRG KCP PDS 170G,BUMBU,Unknown,SERAYA MAKMUR P,1899-12-30,12,1,PACKs,Unknown,Unknown,0,0,7498.0,7900,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,32.0,0.0509,True,False,Low
A2394,711844330016,,,ABC SARDINES  TOMAT 425ML,MAKANAN KALENG,Unknown,SERAYA MAKMUR P,1899-12-30,24,1,KALENG,Unknown,Unknown,0,0,11833.0,12400,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,35.0,0.0457,True,False,Low
A2393,711844330108,,,ABC SARDINES CHILI 155,MAKANAN KALENG,Unknown,SERAYA MAKMUR P,1899-12-30,60,1,KALENG,Unknown,Unknown,0,0,4904.0,5200,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,50.0,0.0569,True,True,Low
A2392,711844330115,,,ABC SARDINES CHILI 425G,MAKANAN KALENG,Unknown,SERAYA MAKMUR P,1899-12-30,24,1,KALENG,Unknown,Unknown,0,0,11833.0,12400,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,43.0,0.0457,True,False,Low
A2661,711844330337,,,ABC SARDINES MACKEREL EXTRA PDS 425,KECAP & SAUCE,Unknown,SERAYA MAKMUR P,1899-12-30,24,1,BUNGKUS,Unknown,Unknown,0,0,15925.0,16800,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,45.0,0.0521,True,False,Low
A2395,711844330009,,,ABC SARDINES TOMAT 155G,MAKANAN KALENG,Unknown,SERAYA MAKMUR P,1899-12-30,60,1,KALENG,Unknown,Unknown,0,0,4904.0,5300,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,46.0,0.0747,True,True,Low
A2407,711844162426,,,ABC SARI ASAM 250ML,MINUMAN,Unknown,SERAYA MAKMUR P,1899-12-30,24,1,PCs,Unknown,Unknown,0,0,2564.58,2900,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,30.0,0.1157,True,False,Medium
A2611,711844140219,,,ABC SAUS ASAM MANIS 195ML,SUSU,Unknown,SERAYA MAKMUR P,1899-12-30,24,1,PCs,Unknown,Unknown,0,0,9217.0,9700,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,47.0,0.0498,True,True,Low
A2714,711844140059,,,ABC SAUS TIRAM 135ML,SYRUP,Unknown,SERAYA MAKMUR P,1899-12-30,1,1,KARTON,Unknown,Unknown,0,0,4958.0,5200,,,,,,,,,Unknown,Unknown,Unknown,,,1,0,0,50.0,0.0465,True,True,Low
