kode_barang,kode_barcode,kode_barcode_2,kode_barcode_3,nama,kategori,sub_kategori,supplier,tanggal_beli,isi,isi_satuan_3,satuan_1,satuan_2,satuan_3,toko,gudang,hpp,harga_toko_1,harga_toko_2,harga_toko_3,harga_partai_1,harga_partai_2,harga_partai_3,harga_cabang_1,harga_cabang_2,harga_cabang_3,lokasi,ukuran,warna,nama_2,nama_3,stok_min,stok_max
20016,8992780030129,0.0,0.0,2TANG TEH HITAM CELUP 60 BAG,TEH & KOPI,0.0,Unknown,1899-12-30,1,1,BOX,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,48,0
70002,89686811025,0.0,0.0,7UP 330ML,SUSU,0.0,LIM SIANG HUAT,1899-12-30,24,1,PCs,0.0,0.0,0,0,4000.0,4400,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
80002,8882730008301,0.0,0.0,888 CALIFORNIA NEW ORANGE,PARFUM,0.0,PT SELATINDO BA,1899-12-30,1,1,BOX,0.0,0.0,0,0,9653.0,9800,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2375,9555021502350,0.0,0.0,A LICAFE 100G,MINUMAN,0.0,INDOMARCO,1899-12-30,24,1,BUNGKUS,0.0,0.0,0,0,7350.0,8000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2376,9555021502336,0.0,0.0,A LICAFE 300G,MINUMAN,0.0,INDOMARCO,1899-12-30,24,1,BUNGKUS,0.0,0.0,0,0,20850.0,21500,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2568,8992761111212,0.0,0.0,A&W SARSAPARILA 330ML,MINUMAN,0.0,COCA COLA DISTR,1899-12-30,24,1,KALENG,0.0,0.0,0,0,4489.58,5000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2542,9556593110028,0.0,0.0,A1 PERMEN JAGUNG 150G,PERMEN,0.0,Unknown,1899-12-30,1,1,KARTON,0.0,0.0,0,0,0.0,9000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2492,9556593112381,0.0,0.0,A1 SHELLA SENBAI RICE 360G,SNACK,0.0,"INDOSINMA JAYA,",1899-12-30,8,1,BUNGKUS,0.0,0.0,0,0,3.7,30500,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2457,8888380212761,0.0,0.0,AAA  ANCOVY  FISH SAUCE 750G,MAKANAN KALENG,0.0,SRIJAYA RAYA PE,1899-12-30,12,1,KALENG,0.0,0.0,0,0,1.08,9800,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2431,8850305310043,0.0,0.0,ABAKUS PERMEN 120G KTK PENSIL,MAKANAN KALENG,0.0,"INDOSINMA JAYA,",1899-12-30,1,1,KARTON,0.0,0.0,0,0,1.8,15300,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2416,8850305310340,0.0,0.0,ABAKUS PERMEN 30G KTK BLT,MAKANAN KALENG,0.0,"INDOSINMA JAYA,",1899-12-30,12,1,KALENG,0.0,0.0,0,0,5000.0,5500,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2432,8850305310258,0.0,0.0,ABAKUS PERMEN BONEKA,MINUMAN,0.0,"INDOSINMA JAYA,",1899-12-30,12,1,PCs,0.0,0.0,0,0,8000.0,8800,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2435,8886022950538,0.0,0.0,ABC ALKALIN 9 VOLT,STATIONERY,0.0,ABM,1899-12-30,6,1,PCs,0.0,0.0,0,0,18169.0,19200,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2545,711844120167,0.0,0.0,ABC AYAM GRENG 135ML,SABUN & SAMPHOO,0.0,SERAYA MAKMUR P,1899-12-30,48,1,PCs,0.0,0.0,0,0,4050.0,4400,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2546,711844120150,0.0,0.0,ABC AYAM GRENG 340ML,SABUN & SAMPHOO,0.0,SERAYA MAKMUR P,1899-12-30,24,1,PCs,0.0,0.0,0,0,8925.0,9400,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2692,711844110403,0.0,0.0,ABC BLACK GOLD 600ML,BUMBU,0.0,SERAYA MAKMUR P,1899-12-30,12,1,BOTOL,0.0,0.0,0,0,16979.0,17900,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2689,8991002101111,0.0,0.0,ABC BROWNIES 30S,TEH & KOPI,0.0,PRIMA RINTIS SE,1899-12-30,6,1,PCs,0.0,0.0,0,0,25345.83,26700,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2665,8992388121250,0.0,0.0,ABC CUP SELERA PEDAS 65G SEMUR,MINUMAN,0.0,SERAYA MAKMUR P,1899-12-30,24,1,KALENG,0.0,0.0,0,0,3254.16,3600,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2678,8992388121243,0.0,0.0,ABC CUP SELERA PEDAS 65G TOMAT,MINUMAN,0.0,SERAYA MAKMUR P,1899-12-30,24,1,KALENG,0.0,0.0,0,0,3254.0,3600,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2494,8991102100014,0.0,0.0,ABC DENT 130G,PASTA & S-GIGI,0.0,ARTA BOGA CEMER,1899-12-30,6,1,PCs,0.0,0.0,0,0,2650.0,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2436,711844330146,0.0,0.0,ABC EXTRA PEDAS 155G,ROKOK,0.0,SERAYA MAKMUR P,1899-12-30,60,1,BUNGKUS,0.0,0.0,0,0,5258.0,5700,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2671,711844160378,0.0,0.0,ABC JUICE GUAVA 1LTR,MINUMAN,0.0,SERAYA MAKMUR P,1899-12-30,12,1,BOTOL,0.0,0.0,0,0,13963.0,14700,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2404,711844160071,0.0,0.0,ABC JUICE JAMBU 250ML,MINUMAN,0.0,SERAYA MAKMUR P,1899-12-30,24,1,PCs,0.0,0.0,0,0,3908.33,4400,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2763,711844160408,0.0,0.0,ABC JUICE JAMBU PREMIUM GOLD 1L,MINYAK GORENG,0.0,SERAYA MAKMUR P,1899-12-30,12,1,PCs,0.0,0.0,0,0,16958.0,17900,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2764,711844160392,0.0,0.0,ABC JUICE MIX PREMIUM GOLD 1L,MINYAK GORENG,0.0,SERAYA MAKMUR P,1899-12-30,12,1,PCs,0.0,0.0,0,0,16958.0,17900,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2670,711844160361,0.0,0.0,ABC JUICE ORANGE 1LTR,MINUMAN,0.0,SERAYA MAKMUR P,1899-12-30,12,1,BOTOL,0.0,0.0,0,0,12683.33,13400,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2772,711844160415,0.0,0.0,ABC JUICE ORANGE GOLD 1LTR,MAKANAN,0.0,SERAYA MAKMUR P,1899-12-30,12,1,BUNGKUS,0.0,0.0,0,0,16958.0,17900,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2405,711844160095,0.0,0.0,ABC JUICE SIRSAK,MINUMAN,0.0,SERAYA MAKMUR P,1899-12-30,24,1,PCs,0.0,0.0,0,0,3908.33,4400,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2704,711844160439,0.0,0.0,ABC JUICE SOY BEAN 1LTR,MINUMAN,0.0,SERAYA MAKMUR P,1899-12-30,6,1,BOTOL,0.0,0.0,0,0,9810.0,10300,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2693,711844160385,0.0,0.0,ABC JUS APPLE 1000ML,OBATAN,0.0,SERAYA MAKMUR P,1899-12-30,6,1,PCs,0.0,0.0,0,0,13963.0,14700,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2406,711844162419,0.0,0.0,ABC KACANG HIJAU 250ML,MINUMAN,0.0,SERAYA MAKMUR P,1899-12-30,24,1,PCs,0.0,0.0,0,0,2662.5,3000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2696,711844162402,0.0,0.0,ABC KACANG HJAU 200ML,SABUN & SAMPHOO,0.0,SERAYA MAKMUR P,1899-12-30,24,1,PCs,0.0,0.0,0,0,2287.5,2600,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2726,711844110328,0.0,0.0,ABC KCP MANIS 18S,MINUMAN,0.0,SERAYA MAKMUR P,1899-12-30,16,1,PACKs,0.0,0.0,0,0,3500.0,3900,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2737,711844110366,0.0,0.0,ABC KCP MNS B.GOLD 620ML,MENTEGA,0.0,SERAYA MAKMUR P,1899-12-30,12,1,PACKs,0.0,0.0,0,0,18013.0,18900,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2604,711844110700,0.0,0.0,ABC KCP PEDAS 135ML,MINUMAN,0.0,SERAYA MAKMUR P,1899-12-30,48,1,BOTOL,0.0,0.0,0,0,5258.0,5600,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2410,711844110021,0.0,0.0,ABC KECAP MANIS 600ML BTL PLASTIK,MINUMAN,0.0,SERAYA MAKMUR P,1899-12-30,12,1,PACKs,0.0,0.0,0,0,15417.0,16200,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2725,711844110069,0.0,0.0,ABC KECAP MANIS SEDANG 620ML,MINUMAN,0.0,SERAYA MAKMUR P,1899-12-30,12,1,BOTOL,0.0,0.0,0,0,16643.75,17400,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A1314,711844110724,0.0,0.0,ABC KECAP PEDAS 16GX20S,KECAP & SAUCE,0.0,SERAYA MAKMUR P,1899-12-30,16,1,PACKs,0.0,0.0,0,0,2943.75,3300,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2599,711844110717,0.0,0.0,ABC KECAP PEDAS 275ML,MINUMAN,0.0,SERAYA MAKMUR P,1899-12-30,24,1,PACKs,0.0,0.0,0,0,9946.0,10500,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2397,711844115057,0.0,0.0,ABC KICAP ASIN 133ML,KECAP & SAUCE,0.0,SERAYA MAKMUR P,1899-12-30,48,1,BOTOL,0.0,0.0,0,0,2466.66,2800,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2396,711844115033,0.0,0.0,ABC KICAP ASIN 620ML,KECAP & SAUCE,0.0,SERAYA MAKMUR P,1899-12-30,12,1,BOTOL,0.0,0.0,0,0,8183.0,9000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2400,711844110113,0.0,0.0,ABC KICAP MANIS 135ML,KECAP & SAUCE,0.0,SERAYA MAKMUR P,1899-12-30,48,1,BUNGKUS,0.0,0.0,0,0,4500.0,4800,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2403,711844110083,0.0,0.0,ABC KICAP MANIS 275ML BTL,MINYAK GORENG,0.0,SERAYA MAKMUR P,1899-12-30,24,1,BOTOL,0.0,0.0,0,0,8812.5,9300,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2399,7118441101378,0.0,0.0,ABC KICAP MANIS 600ML POUCH,KECAP & SAUCE,0.0,SERAYA MAKMUR P,1899-12-30,12,1,BUNGKUS,0.0,0.0,0,0,10593.75,15600,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2398,711844110052,0.0,0.0,ABC KICAP MANIS 620ML,KECAP & SAUCE,0.0,SERAYA MAKMUR P,1899-12-30,12,1,BOTOL,0.0,0.0,0,0,17475.0,18300,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2569,8991002101104,0.0,0.0,ABC KOPI BROWNIES 5SX32G,TEH & KOPI,0.0,PRIMA RINTIS SE,1899-12-30,24,1,PACKs,0.0,0.0,0,0,3593.75,4000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A1482,8991002101746,0.0,0.0,ABC KOPI MOCCA 5SX32G,TEH & KOPI,0.0,PRIMA RINTIS SE,1899-12-30,24,1,PACKs,0.0,0.0,0,0,3593.75,4300,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2455,8991002101654,0.0,0.0,ABC KOPI SUSU 20SX32G,TEH & KOPI,0.0,PRIMA RINTIS SE,1899-12-30,6,1,PCs,0.0,0.0,0,0,16166.66,17200,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2391,711844330306,0.0,0.0,ABC MACKEREL 155G CHILI,MAKANAN KALENG,0.0,SERAYA MAKMUR P,1899-12-30,60,1,KALENG,0.0,0.0,0,0,6273.0,6600,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2667,711844330320,0.0,0.0,ABC MACKEREL 155G EXTRA PDS,MAKANAN KALENG,0.0,SERAYA MAKMUR P,1899-12-30,60,1,KALENG,0.0,0.0,0,0,5973.0,6600,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A0169,711844330207,0.0,0.0,ABC MACKEREL 155G TOMAT,MAKANAN KALENG,0.0,SERAYA MAKMUR P,1899-12-30,60,1,KALENG,0.0,0.0,0,0,6273.0,6600,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,120,0
A2390,711844330313,0.0,0.0,ABC MACKEREL 425 CHILI,MAKANAN KALENG,0.0,SERAYA MAKMUR P,1899-12-30,24,1,KALENG,0.0,0.0,0,0,15983.0,16800,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2389,711844330214,0.0,0.0,ABC MACKEREL TOMAT  425,MAKANAN KALENG,0.0,SERAYA MAKMUR P,1899-12-30,24,1,KALENG,0.0,0.0,0,0,14473.0,15200,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2386,711844120099,0.0,0.0,ABC MANIS PEDAS 340 ML,BUMBU,0.0,SERAYA MAKMUR P,1899-12-30,24,1,BOTOL,0.0,0.0,0,0,8925.0,9400,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2724,8992388112791,0.0,0.0,ABC MIE EAT&GO BASO AYAM 60G,MINUMAN,0.0,SERAYA MAKMUR P,1899-12-30,24,1,BOTOL,0.0,0.0,0,0,3375.0,3700,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2723,8992388112807,0.0,0.0,ABC MIE EAT&GO BASO SAPI 60G,MINUMAN,0.0,SERAYA MAKMUR P,1899-12-30,24,1,BOTOL,0.0,0.0,0,0,3375.0,3700,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
M0976,8992388152322,0.0,0.0,ABC MIE REMEZ 35G JGG BAKAR,SNACK,0.0,Unknown,1899-12-30,40,1,BUNGKUS,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A1462,8992388152346,0.0,0.0,ABC MIE REMEZ 35G KRIM BAWANG,SNACK,0.0,Unknown,1899-12-30,40,1,BUNGKUS,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
M0977,8992388211036,0.0,0.0,ABC MIE REMEZ 40G AYAM BAWANG,SNACK,0.0,Unknown,1899-12-30,40,1,BUNGKUS,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,80,0
M0978,8992388212200,0.0,0.0,ABC MIE REMEZ 40G AYM GRG,SNACK,0.0,Unknown,1899-12-30,40,1,BUNGKUS,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,80,0
M0979,8992388212309,0.0,0.0,ABC MIE REMEZ 40G KEJU,SNACK,0.0,Unknown,1899-12-30,40,1,BUNGKUS,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,80,0
A2380,711844167056,0.0,0.0,ABC MILK SHAKE 185ml C,OBATAN,0.0,SERAYA MAKMUR P,1899-12-30,1,1,BOX,0.0,0.0,0,0,2250.0,2500,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2382,711844167032,0.0,0.0,ABC MILK SHAKE 185ml STAW,MINUMAN,0.0,SERAYA MAKMUR P,1899-12-30,1,1,BOX,0.0,0.0,0,0,2250.0,2500,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2381,711844167049,0.0,0.0,ABC MILK SHAKE 185ml V,MINUMAN,0.0,SERAYA MAKMUR P,1899-12-30,1,1,BOX,0.0,0.0,0,0,2250.0,2500,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2740,711844164796,0.0,0.0,ABC MR JUSSIE ICY CHOCO BANTAL 160M,MINUMAN,0.0,SERAYA MAKMUR P,1899-12-30,24,1,PACKs,0.0,0.0,0,0,1660.41,2000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2722,711844160422,0.0,0.0,ABC MUNG BEAN 1000ML, KACANG TANAH,0.0,SERAYA MAKMUR P,1899-12-30,6,1,PCs,0.0,0.0,0,0,10325.0,10900,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2575,8991002101265,0.0,0.0,ABC PLUS 25GX5S,TEH & KOPI,0.0,PRIMA RINTIS SE,1899-12-30,24,1,PACKs,0.0,0.0,0,0,1770.83,2300,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2709,8991002101258,0.0,0.0,ABC PLUS BOX 5SX18G,PERMEN,0.0,PRINTIS PRIBADI,1899-12-30,6,1,BUNGKUS,0.0,0.0,0,0,2089.16,2300,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2719,711844120327,0.0,0.0,ABC SAMBAL ASLI 10SX20G,SABUN & SAMPHOO,0.0,SERAYA MAKMUR P,1899-12-30,10,1,PCs,0.0,0.0,0,0,3725.0,4000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2627,711844120419,0.0,0.0,ABC SAMBAL ASLI 275ML,SABUN & SAMPHOO,0.0,SERAYA MAKMUR P,1899-12-30,24,1,PCs,0.0,0.0,0,0,7033.33,7400,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2387,711844120013,0.0,0.0,ABC SAMBAL ASLI 340 ML,BUMBU,0.0,SERAYA MAKMUR P,1899-12-30,24,1,BOTOL,0.0,0.0,0,0,8925.0,9400,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2794,711844120525,0.0,0.0,ABC SAMBAL ASLI 380ML POUCH,MINUMAN,0.0,SERAYA MAKMUR P,1899-12-30,1,1,KARTON,0.0,0.0,0,0,8106.0,8600,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2731,711844120433,0.0,0.0,ABC SAMBAL ASLI 600ML BTL,SUSU,0.0,SERAYA MAKMUR P,1899-12-30,24,1,PCs,0.0,0.0,0,0,14250.0,14900,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2720,711844120389,0.0,0.0,ABC SAMBAL AYAM GRG 10S,SABUN & SAMPHOO,0.0,SERAYA MAKMUR P,1899-12-30,10,1,PCs,0.0,0.0,0,0,3558.0,4000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2721,711844120365,0.0,0.0,ABC SAMBAL EXTRA PEDAS 10S, KACANG TANAH,0.0,SERAYA MAKMUR P,1899-12-30,10,1,PCs,0.0,0.0,0,0,3725.0,4000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2412,711844120082,0.0,0.0,ABC SAMBAL EXTRA PEDAS 135ML,MINUMAN,0.0,SERAYA MAKMUR P,1899-12-30,48,1,BOTOL,0.0,0.0,0,0,3870.83,4200,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2736,711844120501,0.0,0.0,ABC SAMBAL EXTRA PEDAS 1KG,OBATAN,0.0,SERAYA MAKMUR P,1899-12-30,6,1,BOTOL,0.0,0.0,0,0,14933.33,15700,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2628,711844120440,0.0,0.0,ABC SAMBAL EXTRA PEDAS 275ML,BUMBU,0.0,SERAYA MAKMUR P,1899-12-30,24,1,PCs,0.0,0.0,0,0,7044.0,7400,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2385,711844120075,0.0,0.0,ABC SAMBAL EXTRA PEDAS 340ML,MINUMAN,0.0,SERAYA MAKMUR P,1899-12-30,24,1,BOTOL,0.0,0.0,0,0,8925.0,9400,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2773,711844120532,0.0,0.0,ABC SAMBAL EXTRA PEDAS 380G,TEH & KOPI,0.0,"BINTANG LIMA, P",1899-12-30,12,1,PCs,0.0,0.0,0,0,8106.0,8600,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2781,711844120341,0.0,0.0,ABC SAMBAL EXTRA REDAS 24SX9G,SYRUP,0.0,SERAYA MAKMUR P,1899-12-30,21,1,BOTOL,0.0,0.0,0,0,4700.0,5200,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2413,711844120105,0.0,0.0,ABC SAMBAL MANIS PEDAS 135ML,BUMBU,0.0,SERAYA MAKMUR P,1899-12-30,48,1,BOTOL,0.0,0.0,0,0,3870.83,4200,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2782,711844120518,0.0,0.0,ABC SAMBAL MASAK 190G,MINUMAN,0.0,Unknown,1899-12-30,1,1,KARTON,0.0,0.0,0,0,0.0,13400,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2388,711844120037,0.0,0.0,ABC SAMBAL MEJA 135 ML,BUMBU,0.0,SERAYA MAKMUR P,1899-12-30,48,1,BOTOL,0.0,0.0,0,0,3870.83,4200,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2414,711844120310,0.0,0.0,ABC SAMBAL SASET 10G24,BUMBU,0.0,SERAYA MAKMUR P,1899-12-30,21,1,BOTOL,0.0,0.0,0,0,4700.0,5000,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2654,711844120402,0.0,0.0,ABC SAMBAL TERASI 10S,PRODUCT BAYI,0.0,SERAYA MAKMUR P,1899-12-30,30,1,PCs,0.0,0.0,0,0,12500.0,13200,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2411,711844130319,0.0,0.0,ABC SAOS TOMAT SASET 9G24,BUMBU,0.0,ANTARIKSA NIAGA,1899-12-30,21,1,PACKs,0.0,0.0,0,0,4250.0,4500,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2700,711844330177,0.0,0.0,ABC SARDEN BALADO 170G,SYRUP,0.0,SERAYA MAKMUR P,1899-12-30,12,1,BOTOL,0.0,0.0,0,0,7498.0,7900,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
A2701,711844330160,0.0,0.0,ABC SARDEN GRG KCP PDS 170G,BUMBU,0.0,SERAYA MAKMUR P,1899-12-30,12,1,PACKs,0.0,0.0,0,0,7498.0,7900,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0
