transaction_id,tanggal,kode_barang,nama_produk,kategori,supplier,qty,harga_jual,hpp,total,profit,tahun,bulan,hari
59,2025-09-11 21:18:47.970730,Q0100,QTELA BBQ 250GR,BISKUIT,ALAM JAYA WIRAS,5,8900,8400.0,44500,2500.0,2025,9,11
60,2025-05-12 21:18:47.972798,F1007,FREZFRUTA JEM 200G P.BUTTER,SLAI/JAM,"INDOSINMA JAYA,",5,12200,11400.0,61000,4000.0,2025,5,12
61,2026-01-31 21:18:47.974871,D2468,DOVE SHAMPOO NOURISHING 180ML,SABUN & SAMPHOO,PRINTIS PRIBADI,8,16900,16300.0,135200,4800.0,2026,1,31
62,2025-06-30 21:18:47.976953,T2043,TEH RATU 10GX10S CAMPUR,MINUMAN,0,4,0,0.0,0,0.0,2025,6,30
63,2026-03-12 21:18:47.979053,M3075,MILKJUS BOX 5S COKLAT,MINUMAN,0,8,0,0.0,0,0.0,2026,3,12
64,2025-08-26 21:18:47.981226,I0632,IC ICE COFFEE MIX  5X30G,TEH & KOPI,0,7,0,0.0,0,0.0,2025,8,26
65,2025-10-19 21:18:47.983371,M3310,MECO PEARL CREAM 12216,KOSMETIK,0,6,0,0.0,0,0.0,2025,10,19
66,2025-10-22 21:18:47.985471,C0293,CAMAY SOAP 125G CLASSIC,SABUN & SAMPHOO,"SUMBER SARI,CV",4,3400,2950.0,13600,1800.0,2025,10,22
67,2025-10-19 21:18:47.987525,S7346,SGM BBLR 400G, KACANG TANAH,PT SELATINDO BA,6,51700,51187.0,310200,3078.0,2025,10,19
68,2026-03-05 21:18:47.989590,C1169,POT BUNGA CLARIS 5825,ALAT RUMAH TANGGA,0,10,0,0.0,0,0.0,2026,3,5
69,2025-10-10 21:18:47.991660,Q0017,QQ KWACI TJIA - TJIA 12GR GREEN TEA,SNACK,0,9,0,0.0,0,0.0,2025,10,10
70,2025-12-23 21:18:47.993696,E1441,EIGER 88 POMADE 75G HIJAU,MINYAK RAMBUT,0,6,0,0.0,0,0.0,2025,12,23
71,2025-10-30 21:18:47.995764,C2848,CELENGAN HEWAN 442C ( JHEDY ),ALAT RUMAH TANGGA,0,8,0,0.0,0,0.0,2025,10,30
72,2026-04-18 21:18:47.998136,D2066,DIRECT SPRAY 120G TITAN,OBATAN,PT KARYA CITRA,4,12200,11480.0,48800,2880.0,2026,4,18
73,2026-05-05 21:18:48.000341,T0706,TRUST SOAP 80G STRAWB,SABUN & SAMPHOO,0,2,0,0.0,0,0.0,2026,5,5
74,2025-09-01 21:18:48.002489,N1320,NU GREEN TEA 330ML ORIGINAL,MINUMAN,SERAYA MAKMUR P,6,3500,3125.0,21000,2250.0,2025,9,1
75,2025-12-17 21:18:48.004612,T2270,TANK NEO ESKAN 2.5LTR,TISSUE,0,2,0,0.0,0,0.0,2025,12,17
76,2025-12-25 21:18:48.006701,N1444,NUTRIJELL STRAW 12SCH @ 10GR,MANISAN,a,1,14200,13500.0,14200,700.0,2025,12,25
77,2026-01-28 21:18:48.008783,Q0110,QUAKER OATMEAL 800GR,TEH & KOPI,INDOMARCO,10,28300,26969.66,283000,13303.400000000001,2026,1,28
78,2025-09-28 21:18:48.011636,B3515,BOTOL AIR PUZZLE SONIC NN-22,ALAT RUMAH TANGGA,0,2,0,0.0,0,0.0,2025,9,28
79,2026-04-03 21:18:48.016217,B3295,BIN BIN RICE CKRS 150G20 SEAWEED,BISKUIT,"INDOSINMA JAYA,",3,14900,14250.0,44700,1950.0,2026,4,3
80,2026-03-05 21:18:48.019142,N1531,NARAYA  SWEET CHOCO 900GR CASHEWNUT,MANISAN,"INDOSINMA JAYA,",1,37800,4.5,37800,37795.5,2026,3,5
81,2025-07-23 21:18:48.021449,K1739,KOKINAN SOY SAUCE 200ML,KECAP & SAUCE,0,3,0,0.0,0,0.0,2025,7,23
82,2025-09-29 21:18:48.023589,B0978,BIORE BF 250ML COOL,SABUN & SAMPHOO,LESTARI MANDIRI,3,10700,10218.0,32100,1446.0,2025,9,29
83,2025-11-20 21:18:48.025718,C3772,CHUI HIANG PRAWN CRACKER 180G,TEH & KOPI,CV.JAYA RAYA,1,7800,7120.0,7800,680.0,2025,11,20
84,2025-08-19 21:18:48.027833,B3413,BOTOL SUSU 250ML 803,PRODUCT BAYI,0,10,0,0.0,0,0.0,2025,8,19
85,2025-08-01 21:18:48.031003,P4939,POTATOZOLES 150GR,BISKUIT,PT.SUMBER SARI,5,6800,6200.0,34000,3000.0,2025,8,1
86,2025-07-10 21:18:48.034361,R0978,RAK GELAS STAINLES 358 (JH),PECAH BELAH,0,1,0,0.0,0,0.0,2025,7,10
87,2025-12-13 21:18:48.037439,R0492,ROUNDIES 40G CKL GOLDEN JAGO,COKELAT,0,6,0,0.0,0,0.0,2025,12,13
88,2026-01-07 21:18:48.040524,A2534,AMBI PUR CAR LAVENDER,PARFUM,"SUMBER SARI,CV",10,31200,29710.0,312000,14900.0,2026,1,7
89,2025-12-02 21:18:48.043640,D1539,DOVE FF 100ML FIRMING,KOSMETIK,0,9,18200,0.0,163800,163800.0,2025,12,2
90,2025-06-23 21:18:48.046476,S5374,SNEK KU RICE PUFF 24S CCNT VNL,SNACK,0,4,0,0.0,0,0.0,2025,6,23
91,2025-12-06 21:18:48.049037,P2929,PEPSI 500ML TWIST,MINUMAN,0,7,0,0.0,0,0.0,2025,12,6
92,2025-07-16 21:18:48.051330,B3542,BOTOL AIR NEW YORK (S) S-710 TK,ALAT RUMAH TANGGA,0,8,0,0.0,0,0.0,2025,7,16
93,2025-06-09 21:18:48.053491,F0653,FREZZA ANTISEPTIK ANTI PLAQUE 120ML,MINUMAN,0,1,0,0.0,0,0.0,2025,6,9
94,2025-10-02 21:18:48.055739,A1901,AUBEAU TOTAL SUN BLOK GEL 15G,KOSMETIK,0,8,0,0.0,0,0.0,2025,10,2
95,2025-06-29 21:18:48.057932,V0912,VAPE TUBE 50ML,ALAT RUMAH TANGGA,0,3,0,0.0,0,0.0,2025,6,29
96,2025-08-14 21:18:48.060350,B0930,BIOGESIC 4 TABLET,OBATAN,"BINTANG LIMA, P",7,1500,1160.0,10500,2380.0,2025,8,14
97,2025-06-24 21:18:48.062705,S6777,STREPSILS HONEY&LEMON 6 BTR,SABUN & SAMPHOO,MESTIKA BATAM S,5,5000,4653.5,25000,1732.5,2025,6,24
98,2025-05-20 21:18:48.064927,N0049,NAGO MARG CAKE 900G VANILLA,BUMBU,0,6,0,0.0,0,0.0,2025,5,20
99,2026-04-12 21:18:48.067002,M1032,MILI VEG 280G MOCK CHICKEN,MAKANAN KALENG,JAYA PUTRA SAWA,9,12700,1.41,114300,114287.31,2026,4,12
100,2026-01-03 21:18:48.069046,T2178,TOWER 500G BARLEY (ISJ),BISKUIT,0,10,0,0.0,0,0.0,2026,1,3
101,2025-05-16 21:18:48.071196,C2517,CHEETOS NET 70G BBQ,SNACK,ALAM JAYA WIRAS,2,3200,2900.0,6400,600.0,2025,5,16
102,2025-10-31 21:18:48.073224,B0220,BALSEM K-3 20G KNG KACA,OBATAN,PT SELATINDO BA,10,3300,2833.33,33000,4666.700000000001,2025,10,31
103,2025-06-13 21:18:48.075274,C3595,COCONUT YAM 150G,SNACK,0,6,0,0.0,0,0.0,2025,6,13
104,2025-05-15 21:18:48.077385,G0982,GREEN LEAF 0961 CTKN AGAR,ALAT RUMAH TANGGA,0,1,0,0.0,0,0.0,2025,5,15
105,2025-11-06 21:18:48.079425,C0846,CHARM BF 20S SLIM WING,PEMBALUT WANITA,PRIMA RINTIS SE,8,8600,8168.54,68800,3451.6800000000003,2025,11,6
106,2026-01-11 21:18:48.081488,S6075,SCHOLAR NIGHT CREAM,MINUMAN,0,9,0,0.0,0,0.0,2026,1,11
107,2026-05-04 21:18:48.083520,N1761,NATUR E FACE CREAM 50ML,OBATAN,SERAYA MAKMUR P,2,22900,21800.0,45800,2200.0,2026,5,4
108,2025-09-02 21:18:48.085578,P3880,PALL MALL FILTER MRH 20S,ROKOK,ZEND PERMATA SU,1,7000,6250.0,7000,750.0,2025,9,2
109,2025-06-23 21:18:48.087605,S0049,CS S.17 SPRITZ COL 75ML PLEASURE,PARFUM,0,6,0,0.0,0,0.0,2025,6,23
110,2025-08-01 21:18:48.089704,L0191,LAURIER S.GUARD WING 4S,PEMBALUT WANITA,LESTARI MANDIRI,8,5500,5000.0,44000,4000.0,2025,8,1
111,2026-01-23 21:18:48.091762,V0906,VITALONG C 30TAB,OBATAN,"DOS NI ROHA, PT",9,24200,23000.0,217800,10800.0,2026,1,23
112,2025-08-18 21:18:48.093841,B0379,BAYFRESH SANITIZER 250ML COOL B,PARFUM,0,5,0,0.0,0,0.0,2025,8,18
113,2026-02-07 21:18:48.095893,P0626,S/K PEWANGI 1.8LT REF VIOLT,DETERGEN,PT CITRA UTAMA,7,16700,15810.0,116900,6230.0,2026,2,7
114,2025-06-11 21:18:48.097921,M1274,MITU 24S REF PINK,TISSUE,NATURAL ALTOVIR,10,10900,10295.0,109000,6050.0,2025,6,11
115,2026-02-03 21:18:48.099966,B2823,BULLION 7356 L (AKENG),PAKAIAN,0,9,0,0.0,0,0.0,2026,2,3
116,2026-03-17 21:18:48.102049,P4913,PHILIPS GENIE 11W,DETERGEN,CV REZEKI MANDI,2,28200,26700.0,56400,3000.0,2026,3,17
117,2025-05-28 21:18:48.104078,D2399,DUMEX DUGRO 900G FRUIT&VEG 3-8,SUSU,MMP,3,88900,88113.0,266700,2361.0,2025,5,28
118,2025-12-28 21:18:48.106128,O0616,OISHI RIN-BEE 12G,SNACK,0,2,0,0.0,0,0.0,2025,12,28
119,2026-03-02 21:18:48.108164,A2648,ANMUM ESSENTIAL 4 MADU,SUSU,STAR MARA,3,76800,76000.0,230400,2400.0,2026,3,2
120,2025-12-17 21:18:48.110256,N1372,NORA C.BUDS NR100,KAPAS,0,9,0,0.0,0,0.0,2025,12,17
121,2026-02-01 21:18:48.112370,M1947,MY BABY PWD 350G S.FLORAL,PRODUCT BAYI,"BINTANG LIMA, P",7,10700,10182.0,74900,3626.0,2026,2,1
122,2026-01-25 21:18:48.114408,P3508,PANTENE COND 90ML HAIR FALL,SABUN & SAMPHOO,"SUMBER SARI,CV",6,7600,7175.0,45600,2550.0,2026,1,25
123,2025-09-11 21:18:48.116440,S4894,SANEX B.MIST SPRAY 100ML ACTIVE,PARFUM,"SUMBER SARI,CV",5,9800,9339.0,49000,2305.0,2025,9,11
124,2026-02-06 21:18:48.118475,S1705,S.AYU BEDAK TABUR KG,KOSMETIK,"SUMBER SARI,CV",4,8000,7273.0,32000,2908.0,2026,2,6
125,2026-02-11 21:18:48.120737,N1337,NYAM NYAM FACE COOKIES 13.5G,BISKUIT,0,6,0,0.0,0,0.0,2026,2,11
126,2025-06-09 21:18:48.122776,P0744,PIGEON BABY HAIR LOTION 200ML,PRODUCT BAYI,0,4,23800,0.0,95200,95200.0,2025,6,9
127,2026-02-07 21:18:48.124843,M1809,CANGKIR ORCHID 710-M SS,ALAT RUMAH TANGGA,0,7,0,0.0,0,0.0,2026,2,7
128,2025-08-08 21:18:48.126926,E0785,EQUAL GRANULE  50SACHET,DIET FOOD,0,1,0,0.0,0,0.0,2025,8,8
129,2025-11-25 21:18:48.128956,S4740,SILVER QUEEN CHUNKY BAR 100ML,COKELAT,"SUMBER SARI,CV",4,14900,13286.0,59600,6456.0,2025,11,25
130,2025-12-10 21:18:48.131133,K0631,KOEPOE SENDAWA 74G,BUMBU,0,9,0,0.0,0,0.0,2025,12,10
131,2025-11-08 21:18:48.133170,C2400,CB KIDS BUBBLE WASH 400ML MELON,SABUN & SAMPHOO,0,5,0,0.0,0,0.0,2025,11,8
132,2025-07-25 21:18:48.135225,T0984,TEMPELAN KACA 995 (JHEDY),STATIONERY,0,9,0,0.0,0,0.0,2025,7,25
133,2025-12-10 21:18:48.137258,N0918,NY.MENEER MINY.TELON 60ML (AMP),OBATAN,MESTIKA BATAM S,1,13200,12500.0,13200,700.0,2025,12,10
134,2025-06-17 21:18:48.139305,A1355,AXI P.LANTAI 4LT LAVENDER,DETERGEN,0,7,0,0.0,0,0.0,2025,6,17
135,2025-10-01 21:18:48.141865,K2790,KG TOGO SILIP COKLATE 25GR,BISKUIT,0,2,0,0.0,0,0.0,2025,10,1
136,2025-08-25 21:18:48.144476,N1319,NESVITA PRODIGEST 250G BANANA,SUSU,0,10,0,0.0,0,0.0,2025,8,25
137,2025-09-10 21:18:48.146621,B3741,BATERAI PANASONIC 9VOLT,ELEKTRONIK,"BINTANG LIMA, P",9,6000,5100.0,54000,8100.0,2025,9,10
138,2026-03-09 21:18:48.148664,M2467,MUSK ALYSSA ROOL-ON 50ML PUTIH,KOSMETIK,"INDOSINMA JAYA,",7,7200,6750.0,50400,3150.0,2026,3,9
139,2025-07-23 21:18:48.150902,B2464,BAGUS W-3603 NAPHT 35G,TANDAS,0,3,0,0.0,0,0.0,2025,7,23
140,2025-09-07 21:18:48.152941,C0435,CAMP FRUIT CUP KOPYOR 80(278),ES,0,3,0,0.0,0,0.0,2025,9,7
141,2025-08-20 21:18:48.154970,R1823,RESIK V SPA FRANGIPANI 90ML,PARFUM,PT ANUGRAH PERK,4,6300,5750.0,25200,2200.0,2025,8,20
142,2025-10-14 21:18:48.157114,K0354,KHH SYRUP 2LT GRAPE,MINUMAN,0,10,0,0.0,0,0.0,2025,10,14
143,2025-09-03 21:18:48.159169,M3590,MILO ACTIGEN-E 14GX5SACHET,SUSU,PD BINTANG BARU,4,4300,4031.45,17200,1074.2000000000007,2025,9,3
144,2025-06-01 21:18:48.161356,G1714,GELAS SET CURIO CPST-8 KIG (S.A),PECAH BELAH,0,2,0,0.0,0,0.0,2025,6,1
145,2025-11-01 21:18:48.163401,S5850,SOFTAN TISSU ROL BUNGA 10X12,TISSUE,0,3,14000,0.0,42000,42000.0,2025,11,1
146,2025-09-13 21:18:48.165450,B0356,BAYFRESH GEL 80G ORANGE,PARFUM,0,8,0,0.0,0,0.0,2025,9,13
147,2025-08-15 21:18:48.167504,D1636,DANCOW 3+ 120G BOX MADU,SUSU,0,9,0,0.0,0,0.0,2025,8,15
148,2025-07-20 21:18:48.169552,B1951,BEBEK S.FLUSH 50ML LEMON,SABUN & SAMPHOO,0,4,0,0.0,0,0.0,2025,7,20
149,2026-05-08 21:18:48.171629,S6421,SASHA S3.23,KOSMETIK,AKP[ANUGRAH KAR,6,5000,4450.0,30000,3300.0,2026,5,8
150,2025-08-02 21:18:48.173732,M3225,MARIMAR HAIR TREAT 250ML GUAVA,KOSMETIK,0,7,0,0.0,0,0.0,2025,8,2
151,2026-05-07 21:18:48.175771,D0962,DURACELL AA-4+2PCS BATERAI,STATIONERY,0,6,0,0.0,0,0.0,2026,5,7
152,2025-09-25 21:18:48.177794,P4459,PERMEN MINT 140G,PASTA & S-GIGI,PT ANUGRAH PERK,9,4300,3900.0,38700,3600.0,2025,9,25
153,2025-08-21 21:18:48.179885,G1076,GT CHOCOCHIP 110G CKL SANDWIC,BISKUIT,0,3,0,0.0,0,0.0,2025,8,21
154,2026-04-09 21:18:48.181933,M1039,MILI PORK LUNCHEON MEAT 397G,MAKANAN KALENG,JAYA PUTRA SAWA,1,13200,12522.08,13200,677.9200000000001,2026,4,9
155,2025-11-01 21:18:48.183951,W0633,WATCHOUT DEO 150ML AIRCRAFT,PARFUM,0,8,0,0.0,0,0.0,2025,11,1
156,2025-08-06 21:18:48.185987,T0644,TRENTIS TISSUE ROL 1S,TISSUE,0,4,0,0.0,0,0.0,2025,8,6
157,2026-01-02 21:18:48.188143,G0039,G/B MUSHROM 623ML SOY SAUCE,KECAP & SAUCE,0,10,0,0.0,0,0.0,2026,1,2
158,2025-09-13 21:18:48.190270,S4378,SAPU LANTAI MILANO 363 NGT,ALAT RUMAH TANGGA,0,10,0,0.0,0,0.0,2025,9,13
159,2026-01-05 21:18:48.192324,S3882,"SQ MINI CHOCO BAG 9,5GRX7S",COKELAT,0,3,0,0.0,0,0.0,2026,1,5
160,2025-12-10 21:18:48.194374,S1048,SENDOK GORENG NO29-2 GG COKLAT,ALAT RUMAH TANGGA,0,5,0,0.0,0,0.0,2025,12,10
161,2025-11-13 21:18:48.196424,E1509,EGO SWISS ROLL COKLAT 176G,BISKUIT,0,4,0,0.0,0,0.0,2025,11,13
162,2026-03-31 21:18:48.198475,B4445,BALPIRIK E/K 10G RED,OBATAN,GEMBIRA,2,2500,2100.0,5000,800.0,2026,3,31
163,2025-06-23 21:18:48.200585,K2537,KAWAT CUCI PIRING A-BRITE,ALAT RUMAH TANGGA,0,8,0,0.0,0,0.0,2025,6,23
164,2026-04-25 21:18:48.202611,M2775,MASA KECAP 625ML MANIS,KECAP & SAUCE,0,4,0,0.0,0,0.0,2026,4,25
165,2026-04-13 21:18:48.204635,M0885,MEME SHP ANAK ORANGE 250ML,SABUN & SAMPHOO,0,3,0,0.0,0,0.0,2026,4,13
166,2026-04-10 21:18:48.206665,C3130,CELENGAN S87 (8V46)MGT,ALAT RUMAH TANGGA,0,10,0,0.0,0,0.0,2026,4,10
167,2025-07-10 21:18:48.208670,S7447,S.AYU ANTI JERAWAT 75G,KOSMETIK,"SUMBER SARI,CV",2,9800,8899.0,19600,1802.0,2025,7,10
168,2026-01-10 21:18:48.210850,D0053,RACK DAILY 312 SS-3 G/L,ALAT RUMAH TANGGA,0,1,0,0.0,0,0.0,2026,1,10
169,2025-06-29 21:18:48.212846,B1395,BUKU SYUKUR,STATIONERY,0,5,0,0.0,0,0.0,2025,6,29
170,2026-01-19 21:18:48.214872,R0966,RIVERA ACCESSORIS KUAS(2)APK,KOSMETIK,0,3,0,0.0,0,0.0,2026,1,19
171,2025-10-12 21:18:48.216855,Z0162,ZWITSAL B.BATH 250ML MILK&HONEY,PRODUCT BAYI,"SUMBER SARI,CV",10,16000,15210.0,160000,7900.0,2025,10,12
172,2025-10-09 21:18:48.218837,O0567,OIL PASTEL DONG-A 12W KTK,STATIONERY,0,9,0,0.0,0,0.0,2025,10,9
173,2025-06-17 21:18:48.221040,C3765,CITRA LASTING PURITY 200ML,KOSMETIK,PRIMA RINTIS SE,2,12000,11440.0,24000,1120.0,2025,6,17
174,2026-03-17 21:18:48.223031,P3864,P/CASE PLASTIK GD PCB,STATIONERY,0,9,0,0.0,0,0.0,2026,3,17
175,2026-04-19 21:18:48.225013,S3221,SHINZUI B.LOTION 100ML HANA,KOSMETIK,"SUMBER SARI,CV",4,8900,8073.0,35600,3308.0,2026,4,19
